203.npy,metro_station
223.npy,bus
237.npy,city_center
48.npy,metro_station
170.npy,car
377.npy,bus
308.npy,forest_path
85.npy,train
164.npy,office
72.npy,residential_area
214.npy,metro_station
242.npy,park
138.npy,bus
13.npy,cafe/restaurant
295.npy,forest_path
247.npy,city_center
238.npy,library
284.npy,metro_station
47.npy,library
312.npy,home
228.npy,home
20.npy,car
313.npy,beach
306.npy,home
267.npy,tram
154.npy,office
57.npy,tram
52.npy,residential_area
151.npy,office
101.npy,forest_path
180.npy,office
364.npy,library
219.npy,office
7.npy,city_center
303.npy,forest_path
253.npy,city_center
173.npy,beach
370.npy,grocery_store
122.npy,forest_path
249.npy,city_center
15.npy,library
216.npy,tram
207.npy,metro_station
174.npy,forest_path
14.npy,car
254.npy,city_center
187.npy,park
76.npy,home
179.npy,tram
240.npy,tram
3.npy,car
135.npy,city_center
338.npy,residential_area
11.npy,city_center
232.npy,library
182.npy,city_center
273.npy,grocery_store
32.npy,cafe/restaurant
29.npy,bus
37.npy,bus
107.npy,city_center
171.npy,residential_area
90.npy,grocery_store
298.npy,cafe/restaurant
275.npy,car
152.npy,library
51.npy,city_center
332.npy,tram
194.npy,train
291.npy,park
99.npy,bus
323.npy,home
8.npy,forest_path
36.npy,bus
389.npy,metro_station
118.npy,car
69.npy,tram
148.npy,office
225.npy,train
145.npy,cafe/restaurant
64.npy,forest_path
258.npy,car
337.npy,park
141.npy,train
60.npy,home
189.npy,beach
167.npy,library
86.npy,beach
235.npy,tram
100.npy,residential_area
119.npy,park
309.npy,train
77.npy,car
24.npy,metro_station
371.npy,office
382.npy,office
105.npy,office
169.npy,forest_path
300.npy,library
244.npy,bus
35.npy,tram
354.npy,office
339.npy,office
49.npy,grocery_store
251.npy,home
44.npy,tram
355.npy,train
359.npy,tram
106.npy,office
250.npy,car
43.npy,metro_station
156.npy,beach
55.npy,home
204.npy,bus
45.npy,residential_area
209.npy,office
363.npy,grocery_store
380.npy,train
12.npy,metro_station
110.npy,car
358.npy,train
326.npy,car
5.npy,residential_area
390.npy,cafe/restaurant
346.npy,office
38.npy,grocery_store
181.npy,home
384.npy,library
352.npy,residential_area
322.npy,cafe/restaurant
65.npy,metro_station
144.npy,train
75.npy,forest_path
211.npy,office
56.npy,forest_path
155.npy,grocery_store
292.npy,car
357.npy,grocery_store
343.npy,city_center
78.npy,library
177.npy,park
234.npy,city_center
361.npy,train
17.npy,metro_station
212.npy,beach
353.npy,grocery_store
31.npy,residential_area
136.npy,bus
27.npy,forest_path
93.npy,home
114.npy,bus
97.npy,bus
334.npy,grocery_store
330.npy,cafe/restaurant
241.npy,library
318.npy,city_center
378.npy,cafe/restaurant
340.npy,park
388.npy,office
163.npy,grocery_store
82.npy,forest_path
315.npy,metro_station
229.npy,metro_station
89.npy,library
168.npy,train
129.npy,cafe/restaurant
124.npy,city_center
329.npy,car
367.npy,grocery_store
310.npy,residential_area
269.npy,tram
349.npy,beach
147.npy,residential_area
245.npy,train
314.npy,grocery_store
201.npy,home
53.npy,car
116.npy,home
265.npy,grocery_store
278.npy,car
362.npy,beach
139.npy,train
40.npy,park
98.npy,metro_station
290.npy,grocery_store
257.npy,car
205.npy,beach
333.npy,bus
195.npy,tram
268.npy,office
103.npy,forest_path
165.npy,tram
84.npy,park
302.npy,residential_area
161.npy,home
252.npy,grocery_store
260.npy,library
319.npy,city_center
374.npy,bus
61.npy,beach
140.npy,metro_station
46.npy,city_center
256.npy,metro_station
158.npy,metro_station
71.npy,cafe/restaurant
109.npy,grocery_store
74.npy,park
127.npy,beach
342.npy,train
137.npy,tram
369.npy,cafe/restaurant
96.npy,train
115.npy,beach
387.npy,beach
263.npy,car
331.npy,library
281.npy,beach
193.npy,home
10.npy,bus
272.npy,beach
279.npy,car
248.npy,city_center
196.npy,residential_area
294.npy,car
305.npy,grocery_store
192.npy,car
131.npy,office
321.npy,cafe/restaurant
59.npy,metro_station
311.npy,bus
83.npy,beach
350.npy,grocery_store
121.npy,residential_area
94.npy,office
117.npy,city_center
54.npy,bus
157.npy,residential_area
198.npy,cafe/restaurant
128.npy,office
224.npy,bus
259.npy,bus
